sample_id,nhle_list_entry,geographic_group_id,terrain_provenance_id,survey_year,source_resolution_m,processing_version,patch_size_m,acquisition_status,raw_qa_status,representation_qa_status,representations,qa_status,raw_sha256,patch_sha256,processed_sha256,cross_cell,overlap_group_id
E001P-9aa4160449d5,1016093,BNG_100KM_E4_N1,EAP-8e32eccbc87e,2017,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,c4d21d256b1985637ccb34011f831b2679629ab5ebcccf295ed92c32101a21ca,b13d32280bd94be59f9284757af530e6a1b994473dd1993532eb46d521c70f9c,f64e8bdf4c83c79a57a821e795f2609d539cdbfc9df49403de6497d0ed4f23ef,False,
E001P-9cfe5cb179a7,1009801,BNG_100KM_E3_N1,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,8579d5276f179ebc2c50e8e34fdadabefa83434189bcba8a4808c49893698628,84adf646fc6c984c30c94876e2d106d5fad75a8d544f6978ad03d8a8b1ac67cf,a60f5c03838a30332196a45d5cceae9c5cd184764ea4f4fc4c9363246ad9977f,False,
E001P-9edb40de9bb1,1010643,BNG_100KM_E2_N0,EAP-c590a5cb0139,2020,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,b593218217f17e295f1a3ef10b6350ea5710f9d1a6104f8e89aa742663283435,3f761718b9776577a38db2985741bc81caa6a966f804dafd462c2f4fb61dab96,7386ab43aad171aca43e3b9f960a46032ab69ed2cc1b56f05367eaccd15fd576,False,E001O-0134257b26f3
E001P-a01e74e62a62,1010557,BNG_100KM_E5_N3,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,6628b974a18801661e352cdb7f1e8d0576aed932515710053f7b60e0d6bd5ec9,4a803c93387c9e865041224eed76d666b2e0dd8e43e8906e22fb1d317a354838,261792565664640ba6dd58fb166305d558a7eeaa134b475a33ca43f4ca19edb7,False,
E001P-a0444b9b08e1,1021307,BNG_100KM_E5_N3,EAP-c590a5cb0139,2020,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,04b5773f56f99e0f730925a13045394a8c399b144fc6311788e01897d9029b29,580591d62c5d8d71a3bd0ed83384b7c21a170838d2a1a4ad572c7363febffce2,c65731565b9b8eea887821d6d5ddc135cae24fa253154ca8deb749a66ab6e1e3,False,
E001P-a0a61ea84389,1008660,BNG_100KM_E3_N5,EAP-71ad6a50942e,2021,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,f1c3716bad9429d2b04a1b22a98a6746d282849640a9aeba793f526c918f3004,b586cb7f87ac40356bb4a36a898b53717d3c5ecc96d47a0e8bcbdf6e8e0efaf7,08706af2115351bdbcb52c73f0315a6572ba40ac8c84db86e64f76a575b57c42,False,
E001P-a1c48e4372af,1014584,BNG_100KM_E3_N5,EAP-d3a871d4f09e,2019,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,0104732560385c307fa7676643cbaa4344e7de6db339bf425e0195d28d564a38,3fdc0c07af219724ece644e7bfebdc2cb490c80fc3c9894ad870db444257c7bd,ef308c1075b45abe185f37454c0e687e83fa415aff5e754dd310611040987005,False,
E001P-a3a09d764ae7,1007640,BNG_100KM_E3_N3,EAP-c590a5cb0139,2020,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,d95dd2de220bed67e3ac8cf84795f5991d106ae3790937f06ffb31eb8bd334e6,ff3e47981585c6a92f9eb485a6ba282a070010a032aa09c8fccac28344e0986b,ebc7d0319a666119108fbfb50febb9136d0b6dd1a9b7a1881e5d24ebe9776087,False,
E001P-a44ea7c11940,1007786,BNG_100KM_E4_N0,EAP-71ad6a50942e,2021,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,8e65aebbd7822ced87349fcfb550afd144661694ad4ff4bf93bf6bdc1f92732b,b4d3a6d7b44910eb5e7360028f90831d4c4c1243515b9d5d270d2ff246169efb,a7b053a8cc7f547b46f8e2e7c9767c6fe56f5841345f559c25cf1ad25da7420d,False,
E001P-a6482e55b7ac,1010109,BNG_100KM_E4_N1,EAP-d3a871d4f09e,2019,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,eea1a794f105ea0e10c395debaff383247cdc11337f6c2e03c9577c1ff6d9702,57b3b0594ae243ebbac702472c013cd6d5287ebf6a0d1e731f4062cb2509c810,97cae9ccc391cadaaa4cd0e23187edd0ecc40ef3d680205b82692343b8cd3625,False,
E001P-a686988f538b,1011521,BNG_100KM_E3_N1,EAP-d3a871d4f09e,2019,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,95d16c2ef747577c6c4d87e3215eb8e277b5fabb75a4e90a17634ef6741d34ff,e41b59f6188590620839e39821d6b9f2b7ddec69b41fd8836e2478de08cae597,743ec9567445d44513d0a6ae0d777110ebfac6c77046b3809180d6f34a4d1134,False,
